Text,Year,Sale
"Monday We offer grand bargains. Every garment of this seasons Production. 200 Jackets, $6  First-class style and material, bait lined, reduced from $15 and $20. 300Jackets, $15. Very stylish, finest quality material and silk linings, reduced from $25 and $40, 100 Cages, $7. Imported and made from braid and fine cut jet, reduced from $25. 200Capes,$15. Very choice garments,made of finestquality moire silks, laces, and cat jet trimmings, and silk lined. 100 Capes, $25. Extra choice garments, Imported models, reduced from $75. Brand Bargains. Tailor-made Suits, Dinner & Visiting dozens, Deception Dress, Dots, Toques, & Bonnets, Regardless of Cost!   ",1894,1
"Smith Gray & Co. Foremost Clothiers Since 1845 SPECIAL SALE Several Thousand Smith Gray & Co. Fall Suits and Fall Coats This is the greatest clothes opportunity that has ever come your way at this season of the year, and it came about because of our increased tailoring facilities, occasioned by our new wholesale department, causing an overproduction of over 5,000 garments. Come in if you wish to save $4.50 to $12.50 on your Fall Suit or Fall Coat. $15.50 for Fall suits; regular $22.50 and $20.00 values. Including high grade velours, cassimeres and cheviots in gray, brown and Oxford mixtures, in correct new Fall designs. Smart Smith Gray models for men, young men and boys. $18.50 for Fall suits that are regular. $25.00 and $22.50 values. High grade worsteds, worsted cheviots, excellent cassimeres and velours. There are dozens of new browns, grays, Oxfords and blues, many exclusive weaves, Including the new diamond weave effects; over a dozen smart two and three button models in sizes and styles for men, young men and boys. $22.50 for Fall suits that are $80.00 and $27.50 values. Included are exclusive worsteds, special weave worsted cheviots and Saxony cassimeres. Theres every shade from lightest gray to darkest mixtures, including, browns, olives and blues. There are included styles, that you expect only in fine custom garments. The models, over a dozen in number, include the smart London soft roll business coat, New York's real smart coat. $27.50 for Fall suits that are $40.00 and $85.00 values. Included are the most recent and most exclusive designs from the worlds best mills. You may choose in this range, from an assortment that represents the finest tailored, best styled and choicest garments possible at any price, ready-for-service. $15.50 for Fall coats; regular $22.50 and $20.00 values. Excellent velours and worsted cheviots, plain and stripe weave wale effects in various new grays, Oxfords; also plain black. Sizes and models for men, young men and boys. $18.50 for Fall coats; regular $25.00 and $22.50 values. Included are many very hand- some and exclusive grays in over a dozen shades and weaves. New browns and Oxfords, and we have also included many coats of the best selling styles, broken sizes. $22.50 for Fall coats that are $30,00 and $27.50 values. A goodly number of these garments are luxurious silk-lined coats. Many smart brown and olive shades in velours and worsteds, various diamond, chain stripe and plain wale weaves. Nearly all are exclusive custom styles. There are models for men of every taste and for nearly every service. A number of broken sizes are included of much greater value than indicated. $27-50 for Fall coats that are $40.00 and $35.00 values. Included are many of the moat exclusive styled garments possible, ready-for-service. All are silk lined and made from the finest of fabrics. There are dark coats, medium coats and light coats in dozens of Oxfords, grays and browns.  ",1910,1
"Pianos and organs To-Day Only! Last Call! Dont Wait! Sale Ends To night! Lincolns Birthday Sale of $450 Walters Empire Pianos for $225. Price Includes new style stool with back and fine fleece lined Cover. $5 down and $1 a week. This is your opportunity to make the safest and best piano investment in the world, besides you save $225, Piano warerooms third floor. Bloomingdales  ",1925,1
"Harlem Manufacturers These 2 Bargains this week. Many other. Installments $5 up. Pianos guaranteed. $115, $150 ",1925,1
Book and Art Sales Weekly Announcement   ,1910,1
For five days only! The first semi-annual shoe sale in the New Henning Continental Shop 2000 Pairs of our Finest Hand-made custom welt and turned sole shoes Priced formerly from $18.50 to $38.00 Now $10.75 - $13.75 - $15.75 Fresh new stock! The Smartest modes for Spring!   ,1928,1
"WE MAKE NO MIS-STATEMENTS Old Crow Rye is a straight, hand made, Sour Mash Whiskey It costs the bottlers more than any other, made; in the United States. ABSOLUTELY PURE. Bottled in bond or in free warehouse. Sold to the trade in bottles only. Buy only of reliable dealers. Call and examine our special Christmas Hampers in great variety, $3 to $15. Sole Agents and Bottlers  ",1905,1
"Dont Let the War Stop Your Wedding No need to put off the wedding day on account of the war abroad and consequent tightness of money and shrinkage of credit. Come here and select the furniture, rugs and house furnishings you want. Well gladly have you open an account and well give you a year and a half to pay in amounts so small youll scarcely feel them. Its just like a department store club plan without the membership fees or interest charges. For example: $50 worth of goods cost but $3 monthly: $100 worth but $6 monthly; $1,000 worth only $50 monthly, etc. 10% off for cash. Prices marked in plain figures. We are the oldest furniture house in America and have an enormous assortment of furniture, rugs and housefurnishings to choose from at the lowest possible prices, which are not affected by the war. Cowperthwait & Songs Oldest Furniture House in America  Start a Collection of War Pictures Twenty-four pages of war photographs marvelously reproduced by the famous Rotogravure Processãin THE NEW YORK TIMES Mid-Week Pictorial War Extra Issued Thursdays. It is the camera's story of churches in ruins, soldiers in trenches, sacked villages, fleeing refugees, armies on the march, &c., &c., faithfully portraying, week by week, the progress of the war. THE PICTORIAL WAR EXTRA SELLS AT 10 CENTS A COPY. Start now to collect these magnificent illustrations of current history, which will be treasured in years to come as no other souvenir of the conflict. Preserve your copies in a suitable binder, specially made for the purpose. Full cloth $1.00 (with one years subscription, $0.00.) Full imitation leather. $1.35 (with one years .subscription, $6.85.) Half leather, gold trimmed $1.50 (with one years subscription, $6.50.) THE NEW YORK TIMES  Macys On sale today  A Sale of $12,000 Worth of Ostrich Plumes at Half Price A remarkable offering of High-Grade Ostrich Plumes, Garnitures, and Bands, made of absolutely reliable Ostrich stock at a saving of one-half, and in some instances more. GARNITURES OF 2 PLUMBS (centre illustration). Two beautiful full heads in following sizes: 13-INCH LENGTH BLACK AND WHITE. Standard Price $3$1.69 14-INCH LENGTH BLACK AND WHITE. Standard Price $4$2.19 20-INCH LENGTH, BLACK, WHITE, SAXE BLUE, PURPLE, SAND AND SHELL PINK. Standard Price $6.00 $2.97 22-INCH LENGTH. Standard Price $8.00 $3.96 OSTRICH BANDS(illustrated on first hat) consisting of a band around the crown and two small plumes on side. In Black, White and all desirable colors of the season. $1.69 BROAD OSTRICH PLUMES (illustrated on third hat) made of fine grade Ostrich, with full, heads, in Black, White and Colors. 16-INCH LENGTH AT. Standard Price $3.25$1.59 18-INCH LENGTH AT. Standard Price $4.00$1.98 20-INCH LENGTH AT. Standard Price $6.00$2.97  ",1914,1
"Rogers Peet  OPEN 8:30 to 12 NOON   SATURDAY JULY 23  Before we tear off our half Saturday, youve all morning long- until 12 noon- to take advantage of our Sale of 3-piece Tropical Suits! Were $45 to $75- $35 and $45 now.  Sports jackets, from $25.Flannel slacks, from $10. Sir Rogers* suits, $27.50. Palm Beach suits, $17.75. Lorraine Seersucker suits, $12.75. Palm Beach slacks, $5.50. Wash slacks, from $3. White ducks, $3.  SOME SUMMER SPECIALS Sennit straws that were $2.95, $4 and $5-1.95 and $2.95 now. Panamas, leghorns coconuts and hanokis that were $5, $7.50 and $10-3.95 and $5.95 now. Panamas, leghorns, coconuts and hanokis that were $5, $7.50 and $10-$3.95 and $5.95 now. Monte Cristi Panamas that were $15, $20, $25 and $35- $10.95, $12.50 and $17.50 now. Sports and golf shoes that were $10 to $13.50- $7.85 now. Johnston & Murphy street and sports shoes_ $10.85 now. $3.50 fancy broadcloth and chambray pajamas- $1.95. Topgrain cowhide zipper sports bags- $4.95. _Reg. U. S. Pat. Off.  ROGERS PEET COMPANY  Fifth Ave. at  41st Street 35th St. at Broadway 13th St. at Broadway Warren St. at Broadway  Boston: 104 Tremont St. at Bromfield St. ",1938,1
"$7,500,000 Christmas Sales at DAVEGA 27 television sales Say Merry Christmas with Zenith TV 16"" RECTANGULAR BLAXIDE TUBE AUTOMATIC SINGLE-KNOB TUNING BUILT-IN PICTURE- MAGNET ANTENNA Pre-tuned for powerful, accurate reception. SUPERBLY STYLED COMPACT CABINET Model H2329R 65 WEEKS TO PAY Alter Down Payment Davegas Amazingly Low Price! LESS THAN YOU FORMERLY PAID FOR SMALL SCREEN TV ZENITH 16"" GLARE-BAN CONSOLE TELEVISION Make this the Merriest Christmas everãfor the whole family! Enjoy TV at its very best with this 16"" Zenith console ã priced for million to afford at Davega NOW! 165 sq. in. of perfect no-glare pictures . . . Automatic SingleKnob Tuning . . . built-in ""Picturemagnet"" antenna . . . Duplex Picture Control that gives a choice of Giant Circle or rectangular-type pictures . . . exquisite 18th Century styling in the full-sixe mahogany veneer cabinet . . . ANDã the ultimate in luxury enjoyment, with ""Lory Bones"" Remote Control! ""Lazy Bones"" Remote Control TV by ZENITH Complete Television Program Selection from Anywhere in the Room! Changes Stations, Picture, Sound at the Touch of a Finger!  ",1950,1
